Produção Ambulatorial SUS - Estado de São Paulo - (A partir de Jan/2008)
Qtd.Aprovada por Faixa Etária (19) e OCI-CARDIO
Período:Jan/2020-Ago/2024
"Faixa Etária (19)";"0202010279 DOSAGEM DE COLESTEROL HDL";"0202010287 DOSAGEM DE COLESTEROL LDL";"0202010295 DOSAGEM DE COLESTEROL TOTAL";"0202010317 DOSAGEM DE CREATININA";"0202010473 DOSAGEM DE GLICOSE";"0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA";"0202010600 DOSAGEM DE POTASSIO";"0202010635 DOSAGEM DE SODIO";"0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)";"0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)";"0202010678 DOSAGEM DE TRIGLICERIDEOS";"0202010694 DOSAGEM DE UREIA";"0202010791 DOSAGEM DE PEPTÍDEOS NATRIURÉTICOS TIPO B (BNP E NT-PROBNP)";"0202020380 HEMOGRAMA COMPLETO";"0204030153 RADIOGRAFIA DE TORAX (PA E PERFIL)";"0205010016 ECOCARDIOGRAFIA DE ESTRESSE";"0205010032 ECOCARDIOGRAFIA TRANSTORACICA";"0208010033 CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE REPOUSO (MINIMO 3 PROJECOES)";"0211020036 ELETROCARDIOGRAMA";"0211020044 MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS)";"0211020060 TESTE DE ESFORCO / TESTE ERGOMETRICO";"Total"
"< 1 ano";134;128;223;3194;1224;44;2901;2865;2278;2528;139;3299;0;24352;24211;170;57948;219;3526;94;37;129514
"1-4a";2613;2262;3660;11904;9608;778;9012;8397;6940;8001;2865;11982;0;65357;47029;124;58578;11;4773;291;14;254199
"5-9a";5271;4651;8905;14465;13111;1968;9096;8444;9253;10370;6773;14450;0;59660;25963;83;57658;16;6659;984;129;257909
"10-14a";8263;7258;12932;20534;15048;4066;13168;11910;12092;14056;10094;19429;0;53319;16662;79;60249;53;9395;1639;843;291089
"15-19a";9130;7888;13245;36984;19406;6527;26689;23427;18289;24677;10857;38477;17;72358;16018;136;52598;114;13704;1646;1666;393853
"20-24a";9582;8272;13722;54672;27526;8321;46098;39678;23693;41575;11408;69913;55;101373;29888;261;43671;214;19478;1140;1226;551766
"25-29a";11982;10238;16842;67103;35177;10984;63257;52658;26675;58186;14038;101132;97;111494;26858;378;52511;444;23344;1258;1551;686207
"30-34a";14799;12569;20356;78159;43000;14132;80935;65479;27159;75111;17274;134279;133;114792;37078;502;66406;1070;27121;1613;2303;834270
"35-39a";19720;16237;26003;96288;53848;18829;103512;82563;30419;95571;22249;173319;208;127159;34854;811;96385;2418;35231;2240;3902;1041766
"40-44a";25646;21620;34499;119401;69174;25739;134086;104838;36311;122114;29433;222656;320;147695;37759;1182;140680;5667;47452;3459;6380;1336111
"45-49a";29840;25117;40291;137888;84959;32631;160125;126676;40203;146903;34222;270986;3406;162400;39831;1690;187201;11224;54038;4623;8684;1602938
"50-54a";36698;30807;49220;167645;112894;43706;198430;153856;47458;182077;41801;335278;4292;185167;45227;2666;255499;20061;65922;6147;11814;1996665
"55-59a";43756;36427;58807;201674;142569;55809;240397;185457;55601;219939;50135;406358;6093;213180;51814;3981;332904;30257;78959;8409;14951;2437477
"60-64a";46238;38260;61879;216805;158337;61931;256631;198166;58856;229069;52482;428335;6998;224722;53466;5075;403762;40362;87813;10428;16912;2656527
"65-69a";44719;36460;58955;217393;162518;62298;258495;199714;56018;227441;49983;431345;7357;219951;51747;5565;423822;43517;88723;11753;15249;2673023
"70-74a";34655;28203;46191;175917;128610;49403;206783;160800;43579;174949;39292;337519;6022;176304;41866;4750;362142;35731;74173;10705;9748;2147342
"75-79a";21555;16818;29992;117394;79434;30575;138023;107113;28655;110798;24301;219696;4541;119906;30132;3217;254615;23361;53166;8173;4331;1425796
"80 e +";18798;14206;25632;118766;63649;24696;130421;106494;29607;90186;21212;189791;4841;123578;36172;2459;238204;14572;54832;8044;1542;1317702
"Ign";31335675;22260596;33601213;57667419;44499571;23953318;36558503;33916797;36599960;37089439;32948931;47461467;31;80912204;10211085;5;464;15;14507979;775634;846241;545146547
"Total";31719074;22578017;34122567;59523605;45719663;24405755;38636562;35555332;37153046;38922990;33387489;50869711;44411;83214971;10857660;33134;3145297;229326;15256288;858280;947523;567180701
 Fonte: Sistema de Informações Ambulatoriais SIA-SUS
 
