Produção Ambulatorial SUS - Estado de São Paulo - (A partir de Jan/2008)
Qtd.Aprovada por OCI-CARDIO e Mês/ano Competencia
Período:Jan/2020-Ago/2024
"OCI-CARDIO";"Jan/2020";"Fev/2020";"Mar/2020";"Abr/2020";"Mai/2020";"Jun/2020";"Jul/2020";"Ago/2020";"Set/2020";"Out/2020";"Nov/2020";"Dez/2020";"Jan/2021";"Fev/2021";"Mar/2021";"Abr/2021";"Mai/2021";"Jun/2021";"Jul/2021";"Ago/2021";"Set/2021";"Out/2021";"Nov/2021";"Dez/2021";"Jan/2022";"Fev/2022";"Mar/2022";"Abr/2022";"Mai/2022";"Jun/2022";"Jul/2022";"Ago/2022";"Set/2022";"Out/2022";"Nov/2022";"Dez/2022";"Jan/2023";"Fev/2023";"Mar/2023";"Abr/2023";"Mai/2023";"Jun/2023";"Jul/2023";"Ago/2023";"Set/2023";"Out/2023";"Nov/2023";"Dez/2023";"Jan/2024";"Fev/2024";"Mar/2024";"Abr/2024";"Mai/2024";"Jun/2024";"Jul/2024";"Ago/2024";"Total"
"0202010279 DOSAGEM DE COLESTEROL HDL";563982;553506;478644;172984;170700;224690;319195;355410;424914;482503;492422;536863;491370;522935;479930;382516;465764;478731;502950;571601;564376;557401;573008;533316;525549;554659;588532;649026;701971;567564;658799;718389;646809;637362;590059;535212;671078;566108;708697;698784;761030;657020;700672;665469;710901;696750;616529;639367;672851;588561;704907;775391;648015;651857;661658;649787;31719074
"0202010287 DOSAGEM DE COLESTEROL LDL";388133;393055;324258;109792;119521;176764;241346;263844;321611;338050;369244;330960;325085;356976;332707;259240;326854;334808;358209;406735;400571;382579;398122;373496;391641;419212;413033;414208;496902;429451;451098;506284;451642;444044;426512;397052;453716;445787;523849;453913;543275;467884;511219;549036;522892;482521;425154;403817;480622;428359;488956;548529;488405;494240;519282;473522;22578017
"0202010295 DOSAGEM DE COLESTEROL TOTAL";629469;612493;527484;186354;189368;250189;343999;392890;461906;529916;542556;577231;531419;565936;530261;423233;505558;515156;539500;613154;608217;600940;614003;578245;575818;597983;633063;678232;743034;607030;712711;766406;689308;673105;627582;575296;714254;604745;753928;740650;804329;696326;741508;712226;758086;743734;651588;677890;715888;629628;756347;835598;710944;711283;705198;709372;34122567
"0202010317 DOSAGEM DE CREATININA";974013;938336;845220;471276;511180;623797;856191;774418;839219;907627;915814;948958;959472;946554;1358413;876852;958437;982978;971624;1051597;1025746;996216;1008802;1010317;1000522;996411;1072449;1109820;1179615;1012915;1129312;1200185;1108835;1125783;1300780;1006794;1165836;1244400;1225633;1206933;1281092;1173353;1211352;1195325;1221857;1239886;1140203;1183668;1232535;1126983;1315004;1420732;1300196;1242624;1210027;1189488;59523605
"0202010473 DOSAGEM DE GLICOSE";864851;831110;739043;344029;360160;442906;558687;595141;668572;747172;752299;801463;747243;780075;749288;636256;721045;717526;744134;833431;829825;808830;824762;760583;746426;777991;846697;902160;973106;798086;896672;956594;887073;875316;837670;785335;953458;781137;985662;956473;1032614;910192;960394;927061;974961;967901;857358;885577;932787;810156;980916;1057819;910537;898089;903525;891489;45719663
"0202010503 DOSAGEM DE HEMOGLOBINA GLICOSILADA";363834;360463;309284;110325;113266;162555;231453;262148;303591;342875;343586;365080;336459;365645;337555;271072;326881;339876;358247;412996;393554;398599;415391;389932;388424;412087;447018;466566;519583;437405;498539;548279;507155;496617;450056;424442;536414;456193;576552;541455;593265;532807;575469;574081;600274;578341;518383;525915;573742;525460;613606;629738;557855;557440;560947;566980;24405755
"0202010600 DOSAGEM DE POTASSIO";602245;580024;528823;330836;361571;433705;494270;526865;557919;597852;601638;635364;614330;623191;628645;582822;623090;625320;614272;662375;658781;640616;650256;637902;655078;657757;693594;733440;772886;670280;751643;774954;725555;744971;705607;676654;773287;661553;800811;809147;845217;786184;804193;783791;815242;834357;776934;815088;839204;757558;895685;957280;872938;835128;799227;798607;38636562
"0202010635 DOSAGEM DE SODIO";548184;528516;480786;304853;336908;399141;454069;483657;513495;550494;552662;589886;565378;576036;589478;545243;580567;570283;570818;606557;601949;585808;595379;585655;606671;602316;641704;681992;705909;620086;691513;715354;665588;688403;649696;620767;706705;614511;738813;753261;773943;719549;742774;720482;739855;765101;715662;748553;768466;695385;828364;878454;803888;772628;734614;728523;35555332
"0202010643 DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)";612423;600481;533620;288337;313203;380528;455194;486310;522352;568195;573729;619437;583303;609894;609605;536770;593361;589061;593620;648049;636166;649509;635764;603698;598994;619870;676465;716980;771098;634220;718056;772935;701806;709743;664407;624407;742077;641688;791000;892125;830797;739664;766342;735284;781774;774580;704558;735032;780978;726342;887955;976729;871915;809659;763426;749531;37153046
"0202010651 DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)";637838;626747;560400;312955;338953;406781;483430;516313;548150;592603;597622;645755;608332;634012;632080;563002;620296;614940;622385;675312;663645;645846;660632;629091;635503;1011977;706957;743276;797179;663208;746312;798930;733285;739424;707697;648376;770563;668786;819316;819452;857732;764589;790907;762711;813057;808192;733652;766716;806315;752875;913799;1003311;897540;835264;793274;775695;38922990
